id,name,type,sex,origin,genre,language,year,tracks,second year
ErSe,Erick Sermon,1,2,2,99,99,99,99,99
ErAl,Erik Alcock,1,2,7,99,99,99,99,99
ErBo,Erik Bodin,1,2,9,99,99,99,99,99
ErikRe,Erik Reyes-Ortiz,1,2,2,99,99,99,99,99
Erne,Ernest Clark,1,2,2,99,99,99,99,99
Erro,Errol Reid,1,99,99,99,99,99,99,99
Eske,Eskeerdo,1,2,2,99,99,99,99,99
Este,Ester Dean,1,1,2,99,99,99,99,99
Etta,Etta Zelmani,1,1,9,99,99,99,99,99
Euge,Eugene Record,1,2,2,99,99,99,99,99
Ewar,Ewart Abner,1,2,2,99,99,99,99,99
Ezra,Ezra Koenig,1,2,2,99,99,99,99,99
FuT,F&T,1,99,99,99,99,99,99,99
Fait,Faith Evans,1,1,2,99,99,99,99,99
Fall,Fallin' Dild,1,99,99,99,99,99,99,99
Fars,Farsi,1,99,99,99,99,99,99,99
Fath,Father John Misty,1,2,2,99,99,99,99,99
Feli,Felix Bernard,1,2,2,99,99,99,99,99
Fern,Fernando Garibay,1,2,2,99,99,99,99,99
Fift,Fifty Shades of grey by various artists,2,55,55,12,1,2015,16,55
Fine,Fine Line by Harry Styles,2,55,55,1,1,2020,12,55
FINN,FINNEAS,1,2,2,99,99,99,99,99
Fion,Fiona Bevan,1,1,1,99,99,99,99,99
Flip,Flippa,1,2,99,99,99,99,99,99
Fluk,Flukes,1,99,99,99,99,99,99,99
folk,folklore by Taylor Swift,2,55,55,5,1,2020,16,55
Fonc,Fonce Mizell,1,2,2,99,99,99,99,99
